Ngày,USD/VND,EUR/VND,EUR/USD,ln_USD,ln_EUR
1/2/2023,"23,440.00","25,758.20",1.0662,0.011452935,-0.018284652
1/3/2023,"23,710.00","25,291.50",1.0546,-0.011026405,0.017437961
1/5/2023,"23,450.00","25,736.40",1.0599,0.001491425,-0.018292368
1/6/2023,"23,485.00","25,269.90",1.052,0.008268891,0.028690245
1/8/2023,"23,680.00","26,005.40",1.0644,0.015919901,-0.003297053
1/9/2023,"24,060.00","25,919.80",1.0728,0.02158579,0.002373742
1/11/2023,"24,585.00","25,981.40",1.0734,-0.012071758,0.017209633
1/12/2023,"24,290.00","26,432.40",1.0755,-0.035834112,-0.04081033
1/13/2023,"23,435.00","25,375.40",1.0846,0.000426621,-0.000681995
1/16/2023,"23,445.00","25,358.10",1.0828,-0.000768049,-0.003357617
1/17/2023,"23,427.00","25,273.10",1.0816,0.000426767,0.000794996
1/18/2023,"23,437.00","25,293.20",1.0788,0.000127995,0.003366774
1/19/2023,"23,440.00","25,378.50",1.0792,0,0.002491132
1/20/2023,"23,440.00","25,441.80",1.0827,0,0.001563132
1/23/2023,"23,440.00","25,481.60",1.0855,0,0.000737515
1/24/2023,"23,440.00","25,500.40",1.0868,0,0.003304287
1/25/2023,"23,440.00","25,584.80",1.0885,0,-0.002387075
1/26/2023,"23,440.00","25,523.80",1.0915,0.000852879,-0.00116822
1/27/2023,"23,460.00","25,494.00",1.0889,0.000426167,-0.001692025
1/30/2023,"23,470.00","25,450.90",1.0867,-0.001065757,0.000593123
1/31/2023,"23,445.00","25,466.00",1.0844,0.007013099,-0.011572238
2/1/2023,"23,610.00","25,173.00",1.0862,-0.006842501,0.016152168
2/2/2023,"23,449.00","25,582.90",1.0989,0.010647198,-0.018558429
2/3/2023,"23,700.00","25,112.50",1.091,-0.010604553,0.026814945
2/5/2023,"23,450.00","25,795.00",1.0793,0.00106553,-0.026026803
2/6/2023,"23,475.00","25,132.30",1.073,0.011014727,0.032272041
2/8/2023,"23,735.00","25,956.60",1.0723,0.025170336,-0.017802364
2/10/2023,"24,340.00","25,498.60",1.0709,0.009405099,0.023055028
2/11/2023,"24,570.00","26,093.30",1.0736,-0.040491361,-0.03102439
2/13/2023,"23,595.00","25,296.20",1.0675,0.000211887,0.001516864
2/14/2023,"23,600.00","25,334.60",1.072,0.000635391,-0.003657815
2/15/2023,"23,615.00","25,242.10",1.0735,0.002748707,0.000780138
2/16/2023,"23,680.00","25,261.80",1.0689,0.00547485,0.007909481
2/17/2023,"23,810.00","25,462.40",1.0668,-0.003576316,-0.004696351
2/20/2023,"23,725.00","25,343.10",1.0694,-0.000843348,-0.004223069
2/21/2023,"23,705.00","25,236.30",1.0682,0.003158895,-0.001074427
2/22/2023,"23,780.00","25,209.20",1.0646,0.001470743,0.000904023
2/23/2023,"23,815.00","25,232.00",1.0601,-0.001470743,-0.006106112
2/24/2023,"23,780.00","25,078.40",1.0595,0.001050751,0.006819238
2/27/2023,"23,805.00","25,250.00",1.0546,-0.002734253,-0.005663532
2/28/2023,"23,740.00","25,107.40",1.0607,-0.009522874,-0.011984349
3/1/2023,"23,515.00","24,808.30",1.0576,-0.003194551,0.019578689
3/2/2023,"23,440.00","25,298.80",1.0665,0.011452935,-0.003575725
3/3/2023,"23,710.00","25,208.50",1.0596,-0.01017389,0.014262015
3/4/2023,"23,470.00","25,570.60",1.0632,-0.000852515,0.014088459
3/5/2023,"23,450.00","25,933.40",1.0678,0.010393561,-0.003170823
3/7/2023,"23,695.00","25,851.30",1.0547,0.002318475,0.005427909
3/8/2023,"23,750.00","25,992.00",1.0544,0.026385659,-0.018369444
3/10/2023,"24,385.00","25,518.90",1.058,0.005520922,0.030434716
3/11/2023,"24,520.00","26,307.50",1.0643,-0.039514394,-0.039512231
3/13/2023,"23,570.00","25,288.30",1.0729,0,0.00027677
3/14/2023,"23,570.00","25,295.30",1.0732,-0.000212157,-0.014947914
3/15/2023,"23,565.00","24,920.00",1.0575,-0.000212202,0.00262096
3/16/2023,"23,560.00","24,985.40",1.0605,0.000424358,0.006160593
3/17/2023,"23,570.00","25,139.80",1.0666,0,0.004955917
3/20/2023,"23,570.00","25,264.70",1.0719,0,0.004561178
3/21/2023,"23,570.00","25,380.20",1.0767,-0.002548854,0.005497034
3/22/2023,"23,510.00","25,520.10",1.0855,-0.000851064,-0.003155431
3/23/2023,"23,490.00","25,439.70",1.083,0.000851064,-0.005727919
3/24/2023,"23,510.00","25,294.40",1.0759,-0.000425441,0.003007996
3/27/2023,"23,500.00","25,370.60",1.0796,-0.000851426,0.003494003
3/28/2023,"23,480.00","25,459.40",1.0843,0,0
3/29/2023,"23,480.00","25,459.40",1.0843,-0.000425985,0.00490949
3/30/2023,"23,470.00","25,584.70",1.0901,-0.000852515,-0.006556603
3/31/2023,"23,450.00","25,417.50",1.0839,0.002555368,-0.01983544
4/1/2023,"23,510.00","24,918.30",1.0895,-0.002129019,0.030631676
4/4/2023,"23,460.00","25,693.40",1.0952,-0.000639591,0.00473319
4/5/2023,"23,445.00","25,815.30",1.0903,0.010817796,-0.001426528
4/7/2023,"23,700.00","25,778.50",1.092,0.001054296,0.013206434
4/8/2023,"23,725.00","26,121.20",1.0897,0.014021366,-0.006067094
4/9/2023,"24,060.00","25,963.20",1.0859,0.014851758,-0.012202858
4/10/2023,"24,420.00","25,648.30",1.091,-0.006985851,0.024228156
4/12/2023,"24,250.00","26,277.30",1.0989,-0.033972653,-0.015231115
4/13/2023,"23,440.00","25,880.10",1.1044,0,-0.003809396
4/14/2023,"23,440.00","25,781.70",1.1,0.001917955,-0.00474327
4/17/2023,"23,485.00","25,659.70",1.0926,0.000851245,0.004960455
4/18/2023,"23,505.00","25,787.30",1.0971,0.000255232,-0.001296051
4/19/2023,"23,511.00","25,753.90",1.0954,-0.000978744,0.000209655
4/20/2023,"23,488.00","25,759.30",1.0967,-0.000127733,0.001695037
4/21/2023,"23,485.00","25,803.00",1.0987,0.00038315,0.005283849
4/24/2023,"23,494.00","25,939.70",1.1041,-0.000894245,-0.007161362
